id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33135286,Comfy studio with private bathroom,4193761,Linas,,De Baarsjes - Oud-West,52.36538,4.85132,Private room,48,2,12,2019-07-01,3.60,1,0
33137008,Nice place to stay :),249260420,Sab,,IJburg - Zeeburgereiland,52.36382,4.98755,Private room,150,1,0,,,2,0
33137219,Unique 5 canal Amstel-view residence,33447148,Jacinta,,Zuid,52.3481,4.88589,Entire home/apt,245,3,4,2019-06-24,1.62,1,0
33146313,Spacious 4 floor apartment in west area,113977564,Willem,,Bos en Lommer,52.37583,4.83874,Entire home/apt,159,2,5,2019-05-05,1.95,62,12
33148208,Big private Attic bedroom in a Dutch Villa,249579284,Marco,,Gaasperdam - Driemond,52.29727,4.97383,Private room,62,1,14,2019-06-16,3.85,1,330
33149698,Amazing  Studio in Centraal Station,212600641,Valentina,,Centrum-West,52.37613,4.89702,Entire home/apt,121,1,12,2019-06-27,3.60,13,0
33149756,Nice cosy appartment in vibrant neighbourhood,249590207,Rolanda,,Oostelijk Havengebied - Indische Buurt,52.35993,4.93857,Entire home/apt,110,10,2,2019-05-24,0.78,1,0
33150320,Bright Charming and Cozy bedrooms/apartment,35158599,Bella,,De Pijp - Rivierenbuurt,52.35801,4.88824,Private room,100,1,1,2019-05-04,0.45,1,13
33150490,Cozy and convenient apartment with roof terrace,113977564,Willem,,De Baarsjes - Oud-West,52.37185,4.86251,Entire home/apt,79,2,5,2019-05-05,1.72,62,0
33151371,Fantastic apt. in nice area near Westerpark,113977564,Willem,,Westerpark,52.38928,4.8771,Entire home/apt,79,2,9,2019-06-16,2.67,62,0
33152083,Cosy apartment on a perfect location!,88334316,Alyssa,,Westerpark,52.38536,4.88122,Entire home/apt,160,3,7,2019-06-19,2.41,1,16
33152519,Master Lodge - City & Nature,129545708,Mariska,,Geuzenveld - Slotermeer,52.37631,4.77975,Entire home/apt,99,2,1,2019-05-11,0.50,7,231
33152946,Modern apartment located in the South area,84453740,David,,Zuid,52.34701,4.86009,Entire home/apt,79,2,4,2019-04-26,1.43,30,0
33157164,"Room in studentshouse, A+ location, view on canal!",211457337,Marnix,,Centrum-West,52.3669,4.88494,Private room,59,29,0,,,2,354
33157742,Single room in Amsterdam West,214285403,Dr Hrishiraj,,Geuzenveld - Slotermeer,52.38065,4.80626,Private room,65,1,7,2019-07-07,2.23,1,13
33158260,Quiet Amsterdam family house: close to the city.,249635108,Laura,,Osdorp,52.35402,4.81453,Entire home/apt,190,7,0,,,1,8
33159282,Houseboat Seven Bridges,47770842,Sven,,Noord-Oost,52.38063,4.97182,Private room,240,1,11,2019-07-07,4.02,10,298
33160030,Houseboat Havana,47770842,Sven,,Buitenveldert - Zuidas,52.33493,4.84767,Private room,170,1,7,2019-06-21,2.92,10,317
33160336,NEW Amazing 2 bedroom apartment close to Central,27665216,Julia,,Oostelijk Havengebied - Indische Buurt,52.37163,4.93675,Entire home/apt,160,2,3,2019-05-25,1.58,1,29
33161311,Houseboat Anne Frank,47770842,Sven,,Noord-Oost,52.38038,4.97197,Private room,180,1,12,2019-07-01,3.56,10,312
33175171,Great place+canal view near Vondelpark+foodhallen,144393038,Doenja,,De Baarsjes - Oud-West,52.36176,4.86382,Entire home/apt,240,2,2,2019-07-02,0.59,1,18
33175541,Cozy apartment at the picturesque canal of Ams,49247109,Ksenia,,Centrum-Oost,52.36292,4.90986,Entire home/apt,120,3,2,2019-05-28,0.67,1,11
33175762,Cozy & bright attic room in 1700s canal apartment,3808355,Lisa,,Centrum-West,52.37595,4.881,Private room,159,1,11,2019-05-22,3.27,4,6
